Year,Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
First Year,4,5,6,Right-handed,I don't know,On your right side,Dog,0
First Year,10,15,6,Right-handed,I don't know,On your right side,Dog,0
First Year,7,5,7,Right-handed,I don't know,On your right side,Dog,0
Third Year,8,10,7,Right-handed,I don't know,On your right side,Dog,0
Third Year,3,7,8,Right-handed,I don't know,On your right side,Dog,0
Second Year,3,6,6,Left-handed,Left leg in first,On your right side,Dog,0
First Year,8,30,7,Left-handed,Left leg in first,On your right side,Dog,0
Third Year,3,3,6,Right-handed,Left leg in first,On your right side,Dog,0
First Year,7,8,6,Right-handed,Left leg in first,On your right side,Dog,0
First Year,5,10,6,Right-handed,Left leg in first,On your right side,Dog,0
Third Year,5,0,7,Right-handed,Left leg in first,On your right side,Dog,0
Third Year,2,2,7,Right-handed,Left leg in first,On your right side,Dog,0
First Year,8,5,7,Right-handed,Left leg in first,On your right side,Dog,0
First Year,7,5,7,Right-handed,Left leg in first,On your right side,Dog,0
Fourth Year,7,5,7,Right-handed,Left leg in first,On your right side,Dog,0
Second Year,6,15,7,Right-handed,Left leg in first,On your right side,Dog,0
First Year,8,5,7.5,Right-handed,Left leg in first,On your right side,Dog,0
Second Year,5,10,7.5,Right-handed,Left leg in first,On your right side,Dog,0
First Year,7,3,8,Right-handed,Left leg in first,On your right side,Dog,0
Second Year,5,5,8,Right-handed,Left leg in first,On your right side,Dog,0
First Year,5,12,8,Right-handed,Left leg in first,On your right side,Dog,0
Second Year,3,5,7,Left-handed,Right leg in first,On your right side,Dog,0
Third Year,4,4,8,Left-handed,Right leg in first,On your right side,Dog,0
First Year,7,6,8,Left-handed,Right leg in first,On your right side,Dog,0
Second Year,7,7,8,Left-handed,Right leg in first,On your right side,Dog,0
First Year,8,10,5,Right-handed,Right leg in first,On your right side,Dog,0
Second Year,6,2,6,Right-handed,Right leg in first,On your right side,Dog,0
Third Year,5,7,6,Right-handed,Right leg in first,On your right side,Dog,0
First Year,4,7,6,Right-handed,Right leg in first,On your right side,Dog,0
Third Year,3,1,7,Right-handed,Right leg in first,On your right side,Dog,0
Third Year,7,4,7,Right-handed,Right leg in first,On your right side,Dog,0
Third Year,6,4,7,Right-handed,Right leg in first,On your right side,Dog,0
Third Year,9,10,7,Right-handed,Right leg in first,On your right side,Dog,0
First Year,8,10,7,Right-handed,Right leg in first,On your right side,Dog,0
Second Year,8,10,7,Right-handed,Right leg in first,On your right side,Dog,0
First Year,6,20,7,Right-handed,Right leg in first,On your right side,Dog,0
Second Year,5,30,7,Right-handed,Right leg in first,On your right side,Dog,0
Second Year,6,2,7.5,Right-handed,Right leg in first,On your right side,Dog,0
First Year,3,5,7.5,Right-handed,Right leg in first,On your right side,Dog,0
First Year,4,7,7.5,Right-handed,Right leg in first,On your right side,Dog,0
First Year,8,10,7.5,Right-handed,Right leg in first,On your right side,Dog,0
Second Year,3,2,8,Right-handed,Right leg in first,On your right side,Dog,0
Second Year,2,2,8,Right-handed,Right leg in first,On your right side,Dog,0
Third Year,4,5,8,Right-handed,Right leg in first,On your right side,Dog,0
Third Year,7,6,8,Right-handed,Right leg in first,On your right side,Dog,0
Second Year,7,10,8,Right-handed,Right leg in first,On your right side,Dog,0
First Year,3,5,8,Left-handed,I don't know,On your stomach,Dog,0
Second Year,6,8,7,Right-handed,I don't know,On your stomach,Dog,0
First Year,7,8,9,Right-handed,I don't know,On your stomach,Dog,0
Third Year,8,8,8,Left-handed,Left leg in first,On your stomach,Dog,0
Third Year,5,2,6,Right-handed,Left leg in first,On your stomach,Dog,0
Second Year,6,15,6,Right-handed,Left leg in first,On your stomach,Dog,0
Third Year,4,3,7,Right-handed,Left leg in first,On your stomach,Dog,0
First Year,4,8,7,Right-handed,Left leg in first,On your stomach,Dog,0
Second Year,6,4,7.5,Right-handed,Left leg in first,On your stomach,Dog,0
Second Year,2,3,8,Right-handed,Left leg in first,On your stomach,Dog,0
First Year,8,5,6,Right-handed,Right leg in first,On your stomach,Dog,0
Second Year,8,10,6,Right-handed,Right leg in first,On your stomach,Dog,0
Second Year,8,20,6,Right-handed,Right leg in first,On your stomach,Dog,0
First Year,2,1,7,Right-handed,Right leg in first,On your stomach,Dog,0
Second Year,6,3,7,Right-handed,Right leg in first,On your stomach,Dog,0
First Year,8,5,7,Right-handed,Right leg in first,On your stomach,Dog,0
Second Year,3,5,7,Right-handed,Right leg in first,On your stomach,Dog,0
First Year,6,10,7,Right-handed,Right leg in first,On your stomach,Dog,0
Second Year,8,4,7.5,Right-handed,Right leg in first,On your stomach,Dog,0
First Year,8,10,8,Right-handed,Right leg in first,On your stomach,Dog,0
Second Year,7,20,8,Right-handed,Right leg in first,On your stomach,Dog,0
First Year,3,4,7,Right-handed,Left leg in first,On your right side,"Dog, Bird",0
First Year,6,7,7,Right-handed,Right leg in first,On your stomach,"Dog, Bird",0
Second Year,5,4,8,Left-handed,Right leg in first,On your right side,"Dog, chicken",0
First Year,1,6,7.5,Right-handed,Left leg in first,On your back,"Dog, Chickens and Turkey",0
First Year,1,1,8,Right-handed,I don't know,On your back,"Dog, Fish",0
First Year,4,4,7,Right-handed,Left leg in first,On your back,"Dog, Fish",0
Second Year,6,4,6,Right-handed,Right leg in first,On your back,"Dog, Fish",0
Third Year,10,10,7,Right-handed,Right leg in first,On your back,"Dog, Fish",0
First Year,5,20,3,Right-handed,I don't know,On your left side,"Dog, Fish",0
Third Year,8,4,8,Right-handed,I don't know,On your left side,"Dog, Fish",0
Second Year,4,3,6,Left-handed,Right leg in first,On your left side,"Dog, Fish",0
Third Year,4,1,7,Right-handed,Right leg in first,On your left side,"Dog, Fish",0
Second Year,4,2,6,Left-handed,Left leg in first,On your right side,"Dog, Fish",0
Third Year,4,10,7,Right-handed,Left leg in first,On your right side,"Dog, Fish",0
Third Year,6,4,7,Right-handed,Right leg in first,On your right side,"Dog, Fish",0
Fourth Year,3,3,6,Right-handed,Left leg in first,On your stomach,"Dog, Fish, Rabbit, Bird",0
Second Year,7,4,5,Right-handed,Right leg in first,On your back,"Dog, Fish, Turtle",0
Second Year,7,8,6,Right-handed,Left leg in first,On your right side,"Dog, Fish, Turtle",0
Third Year,7,2,8,Right-handed,Right leg in first,On your left side,"Dog, Fish, Turtle, Bird",0
Second Year,3,4,7,Right-handed,Right leg in first,On your left side,"Dog, Frog",0
First Year,8,5,7,Right-handed,Right leg in first,On your right side,"Dog, Parrot",0
First Year,5,6,7,Right-handed,Right leg in first,On your stomach,"Dog, Rabbit",0
Fourth Year,4,3,9,Right-handed,Right leg in first,On your stomach,"Dog, Rabbit",0
Second Year,3,2,7,Left-handed,I don't know,On your back,"Dog, Rabbit, Lizard",0
Second Year,5,3,8,Right-handed,Left leg in first,On your right side,"Dog, Snake",0
Second Year,8,4,6,Left-handed,I don't know,On your back,"Dog, Turtle",0
Second Year,8,7,7,Right-handed,I don't know,On your left side,"Dog, Turtle",0
Third Year,1,2,5,Right-handed,Right leg in first,On your left side,"Dog, Turtle",0
Second Year,5,4,6,Right-handed,Right leg in first,On your left side,"Dog, Turtle",0
First Year,4,6,7,Right-handed,Left leg in first,On your left side,"Dog, Turtle, tortoise",0
Graduate Student,4,4,7,Right-handed,I don't know,On your back,Fish,0
Second Year,1,3,8,Left-handed,Left leg in first,On your back,Fish,0
First Year,4,5,7,Right-handed,Right leg in first,On your back,Fish,0
First Year,5,10,7,Right-handed,Right leg in first,On your back,Fish,0
First Year,6,8,8,Right-handed,I don't know,On your left side,Fish,0
Third Year,5,2,6,Right-handed,Left leg in first,On your left side,Fish,0
Second Year,6,10,7,Right-handed,Left leg in first,On your left side,Fish,0
Second Year,7,12,7,Right-handed,Left leg in first,On your left side,Fish,0
First Year,6,7,6,Right-handed,Right leg in first,On your left side,Fish,0
Second Year,6,7,7,Right-handed,Right leg in first,On your left side,Fish,0
Third Year,7,3,7.5,Right-handed,Right leg in first,On your left side,Fish,0
First Year,3,3,8,Right-handed,Right leg in first,On your left side,Fish,0
Second Year,9,20,8,Right-handed,Right leg in first,On your left side,Fish,0
First Year,6,10,8,Right-handed,I don't know,On your right side,Fish,0
First Year,4,10,7,Right-handed,Left leg in first,On your right side,Fish,0
Second Year,3,5,7,Right-handed,Right leg in first,On your right side,Fish,0
First Year,6,12,7.5,Right-handed,Right leg in first,On your right side,Fish,0
Third Year,8,8,12,Right-handed,Right leg in first,On your back,"Fish, Bird",0
First Year,6,3,6,Right-handed,Right leg in first,On your back,"Fish, Turtle",0
Third Year,8,5,8,Right-handed,Left leg in first,On your back,girlfriend,0
First Year,8,3,6,Right-handed,Right leg in first,On your right side,Goldfish,0
Second Year,10,3,6,Right-handed,I don't know,On your back,Hamster or Guinea Pig,0
First Year,1,2,6,Right-handed,Left leg in first,On your back,Hamster or Guinea Pig,0
First Year,8,6,8,Right-handed,Left leg in first,On your left side,Hamster or Guinea Pig,0
Third Year,5,4,7,Right-handed,Right leg in first,On your stomach,Hamster or Guinea Pig,0
Second Year,5,10,7,Left-handed,I don't know,On your back,Lizard (missing),0
Third Year,3,5,9,Right-handed,Left leg in first,On your left side,"Lizard, shrimp",0
First Year,8,3,6.5,Right-handed,Right leg in first,On your back,mantis,0
Third Year,2,1,8,Left-handed,I don't know,On your back,None,0
First Year,8,7,8,Left-handed,I don't know,On your back,None,0
Third Year,5,1,6,Right-handed,I don't know,On your back,None,0
Second Year,7,3,6,Right-handed,I don't know,On your back,None,0
Fourth Year,5,3,6,Right-handed,I don't know,On your back,None,0
Third Year,1,3,6,Right-handed,I don't know,On your back,None,0
Third Year,5,4,6,Right-handed,I don't know,On your back,None,0
Third Year,8,5,6.5,Right-handed,I don't know,On your back,None,0
First Year,4,2,7,Right-handed,I don't know,On your back,None,0
First Year,5,3,7,Right-handed,I don't know,On your back,None,0
Fourth Year,2,3,7,Right-handed,I don't know,On your back,None,0
Third Year,2,3,7,Right-handed,I don't know,On your back,None,0
First Year,6,4,7,Right-handed,I don't know,On your back,None,0
Third Year,3,4,7,Right-handed,I don't know,On your back,None,0
Third Year,5,6,7,Right-handed,I don't know,On your back,None,0
Second Year,3,7,7,Right-handed,I don't know,On your back,None,0
Third Year,9,10,7,Right-handed,I don't know,On your back,None,0
Third Year,5,80,7,Right-handed,I don't know,On your back,None,0
First Year,2,3,7.5,Right-handed,I don't know,On your back,None,0
Second Year,4,2,8,Right-handed,I don't know,On your back,None,0
Third Year,2,2,8,Right-handed,I don't know,On your back,None,0
First Year,8,5,8,Right-handed,I don't know,On your back,None,0
Third Year,2,5,8,Right-handed,I don't know,On your back,None,0
First Year,5,6,8,Right-handed,I don't know,On your back,None,0
First Year,4,10,8,Right-handed,I don't know,On your back,None,0
Third Year,6,2,6,Right-handed,Left leg in first,On your back,None,0
First Year,7,3,6,Right-handed,Left leg in first,On your back,None,0
Third Year,5,3,6,Right-handed,Left leg in first,On your back,None,0
First Year,7,5,6,Right-handed,Left leg in first,On your back,None,0
First Year,5,5,6,Right-handed,Left leg in first,On your back,None,0
Second Year,5,6,6,Right-handed,Left leg in first,On your back,None,0
First Year,7,15,6,Right-handed,Left leg in first,On your back,None,0
Third Year,4,5,6.5,Right-handed,Left leg in first,On your back,None,0
Third Year,3,1,7,Right-handed,Left leg in first,On your back,None,0
Third Year,6,2,7,Right-handed,Left leg in first,On your back,None,0
First Year,4,2,7,Right-handed,Left leg in first,On your back,None,0
Fourth Year,3,2,7,Right-handed,Left leg in first,On your back,None,0
Third Year,3,2,7,Right-handed,Left leg in first,On your back,None,0
First Year,5,4,7,Right-handed,Left leg in first,On your back,None,0
Second Year,3,4,7,Right-handed,Left leg in first,On your back,None,0
First Year,5,5,7,Right-handed,Left leg in first,On your back,None,0
Third Year,5,5,7,Right-handed,Left leg in first,On your back,None,0
Third Year,4,5,7,Right-handed,Left leg in first,On your back,None,0
First Year,7,7,7,Right-handed,Left leg in first,On your back,None,0
Second Year,5,1,7.5,Right-handed,Left leg in first,On your back,None,0
Second Year,4,1,8,Right-handed,Left leg in first,On your back,None,0
First Year,6,3,8,Right-handed,Left leg in first,On your back,None,0
First Year,5,3,8,Right-handed,Left leg in first,On your back,None,0
Third Year,3,4,8,Right-handed,Left leg in first,On your back,None,0
First Year,4,5,8,Right-handed,Left leg in first,On your back,None,0
Second Year,3,5,8,Right-handed,Left leg in first,On your back,None,0
Second Year,6,10,8,Right-handed,Left leg in first,On your back,None,0
First Year,5,10,8,Right-handed,Left leg in first,On your back,None,0
Second Year,10,15,8,Right-handed,Left leg in first,On your back,None,0
First Year,9,60,8,Right-handed,Left leg in first,On your back,None,0
First Year,6,5,9,Right-handed,Left leg in first,On your back,None,0
First Year,5,3,6,Left-handed,Right leg in first,On your back,None,0
Second Year,3,5,8,Left-handed,Right leg in first,On your back,None,0
Fourth Year,3,0,5,Right-handed,Right leg in first,On your back,None,0
Third Year,3,3,5,Right-handed,Right leg in first,On your back,None,0
Second Year,7,5,5,Right-handed,Right leg in first,On your back,None,0
Fourth Year,2,0,6,Right-handed,Right leg in first,On your back,None,0
